副业编号,副业名称,副业描述,副业投资（元）,月收入（元 / 月）,精力变化
P01,办摄影公司,利用业余时间创办一家摄影公司，获得副业收入。可以自己做，也可以转让。,"3,000","3,500",-3
P02,办软件公司,利用业余时间创办一家软件公司，获得副业收入。可以自己做，也可以转让。,"6,000","10,000",-4
P03,课程代理,利用业余时间做课程代理，获得副业收入。可以自己做，也可以转让。,"2,000","5,500",-3
P04,整理收纳师,利用业余时间提供整理收纳服务，获得副业收入。可以自己做，也可以转让。,0,"2,500",-3
P05,自媒体写作,利用业余时间写作发文，获得副业收入。可以自己做，也可以转让。,0,"3,500",-4
P06,经营小吃店（非公司）,利用业余时间经营一家小吃店，获得副业收入。可以自己做，也可以转让。,"2,000","4,000",-3
P07,办设计公司,利用业余时间创办一家设计公司，获得副业收入。可以自己做，也可以转让。,"5,000","8,000",-3
P08,网络主播,利用业余时间做网络主播，获得副业收入。可以自己做，也可以转让。,0,"4,000",-4
P09,微课讲师,利用业余时间做微课讲师，获得副业收入。可以自己做，也可以转让。,0,"4,000",-4
P10,外卖骑手,利用业余时间做外卖骑手，获得副业收入。可以自己做，也可以转让。,"1,000","4,500",-4
P11,销售代理（团队事业）,利用业余时间建立团队，销售一款产品，获得副业收入。可以自己做，也可以转让。,"2,000","4,000",-4
P12,销售代理（团队事业）,利用业余时间建立团队，销售一款产品，获得副业收入。可以自己做，也可以转让。,"1,000","3,500",-3
P13,配音员,利用业余时间做配音员，为有声读物配音，获得副业收入。可以自己做，也可以转让。,"1,000","2,000",-2
P14,专车司机,利用业余时间做专车司机，获得副业收入。有车可做，也可以转让。,0,"5,000",-3
P15,私人定制导游,利用业余时间做私人定制导游，获得副业收入。可以自己做，也可以转让。,"1,000","6,000",-3
P16,活动策划,利用业余时间做活动策划，获得副业收入。可以自己做，也可以转让。,"1,000","5,000",-4
P17,翻译,利用业余时间做翻译，获得副业收入。可以自己做，也可以转让。,0,"5,000",-5
P18,制作 PPT,利用业余时间制作 PPT，获得副业收入。可以自己做，也可以转让。,0,"4,000",-4
P19,视频制作,利用业余时间制作视频，获得副业收入。可以自己做，也可以转让。,"1,000","6,500",-5
