编号,事件名称,现金变化（元）,精力变化,特殊效果 / 奖励
L01,老客户转介绍合作,5000,1,获「人脉卡 ×1」（可触发合作）
L02,副业爆款订单,8000,2,副业月入永久 + 2000
L03,房屋拆迁补偿,20000,0,获无贷「房产卡 ×1」
L04,基金高分红,3000,1,基金份额 ×2（锁 1 轮）
L05,企业政府补贴,10000,1,企业月现金流 + 2000（持续 3 轮）
L06,好友还款带息,6000,1,获「信任值 ×1」（优先融资）
L07,闲置设备转卖,4000,0,清闲置，精力 + 1
L08,技能认证加薪,+2000 / 月,2,月收入永久 + 2000
L09,股市超跌反弹,10000,1,持股市值 ×2（限 1 只）
L10,保险理赔到账,8000,0,触发「重疾险」全额理赔（若持有）
L11,合作项目分成,12000,2,获「企业合作卡 ×1」（月入 + 3000）
L12,房东减免租金,-500 / 月,1,租房月支 - 500（持续 2 轮）
L13,信用卡提额,+5000 额度,1,透支额 + 5000（免息 1 轮）
L14,海外汇款到账,+15000（外汇）,1,外汇可兑换（汇率 1:1.2）
L15,旧物收藏升值,7000,0,获「收藏品卡 ×1」（未来可拍卖）
L16,健身打卡奖励,1000,2,精力永久 + 1（健康加成）
L17,读书会资源对接,0,2,获「人脉卡 ×2」（行业资源）
L18,公益活动表彰,0,3,社会信用 + 1（融资利率 - 1%）
L19,税务筹划节税,+3000（省税）,1,企业月支 - 3000（持续 1 轮）
L20,同学天使投资,+10000 投资,2,企业估值 + 20%
L21,智能家居节能奖,+2000 / 月,1,月支 - 2000（电费）
L22,宠物比赛获奖,3000,1,获「宠物陪伴」（精力 + 1 / 轮）
L23,社区团购分红,4000,1,解锁「副业拓展」（可招 1 人）
L24,写作投稿发表,2500,1,个人品牌 + 1（副业议价 + 20%）
L25,车辆油费补贴,+1000 / 月,0,月支 - 1000（油费）
L26,亲子活动赞助,5000,2,获「家庭人脉」（合作优先度 + 1）
L27,校友创业扶持,8000,1,企业贷款额 + 5000（利率 - 2%）
L28,手工制品热销,6000,1,解锁「副业电商」（月入 + 1500）
L29,运动赛事获奖,3500,2,精力永久 + 1（体能提升）
L30,行业 mentor 指导,0,3,投资胜率 + 10%
