职业名称,人物描述,工资收入（元）,生活支出（元）,月现金流（元）,精力值
记者,在一次采访中结缘的记者，被他的正义感和敬业精神打动，决定和他共度余生,"15,000","8,000","7,000",3
医生,医学名校毕业，是所在医院的青年骨干，收入高、门诊少、对你还很好,"12,000","7,000","5,000",3
公务员,拥有朝九晚五的稳定工作，收入虽然不高，却可以给你想要的安全感,"6,000","3,000","3,000",4
律师,你们相识于一个聚会上，他的口才和思辨能力深深吸引了你,"15,000","8,000","7,000",2
装修设计师,充满想象力的设计师，热情奔放，经常加班赶设计稿子,"12,000","6,000","6,000",3
IT 程序员,内向的 IT 男，你们通过相亲认识，细心靠谱，每天都会工作到很晚,"15,000","6,000","9,000",9
挖掘机驾驶员,工资收入高，踏实肯干，强壮如牛，会存钱，对你好,"25,000","15,000","10,000",3
健身达人,典型的肌肉男，英俊潇洒，工资收入不错，钱都花在健身和打扮上的月光族,"10,000","10,000",0,6
五星级酒店大厨,高中毕业就去学厨师，就职于五星级酒店，擅长意大利菜，给你做各种好吃的,"18,000","12,000","6,000",3
美发师,在一次剪头发时被他的发型征服，实现 “一辈子剪发免费” 的梦想,"15,000","8,000","7,000",3
