类型,事件名称,事件描述,现金变化（元）,精力变化,特殊规则
团体逆流,贸易战引发经济危机,贸易战引发经济危机，企业裁员；除持重疾险玩家外，需掷骰判定：<3 住院，≥3 失业,住院 - 10000；失业无,住院 - 1；失业 + 6,重疾险玩家豁免；掷骰判定结果：<3 住院（-10000、-1 精力），≥3 失业（+6 精力）
团体逆流,租房中介资金链断裂,租房中介暴雷，租房玩家被驱离，损失 1 万元并消耗精力,-10000,-1,已清算房间 / 律师介入者豁免
团体逆流,大病体检（3 级确诊）,体检确诊 3 级疾病，需 3 万住院费；持 B01 大病险玩家掷 2 骰，可获 2 万康复补偿,无保险 - 30000；有 B01+20000,0,持 B01 玩家触发理赔，掷骰判定
团体逆流,通胀致房租上涨,通货膨胀使房租上涨，租房且无房贷玩家每月房租 + 1000 元,+1000 / 月,0,租房 + 无房贷玩家触发
团体逆流,贸易战引发金融危机（股市暴跌）,金融危机导致股市暴跌，持股玩家股票以初始价 5 折强制平仓,股票资产损失 50%,-1,持股玩家触发
团体逆流,Y09 药业公司造假退市,Y09 药业因财务造假强制退市，持有其股票的玩家需清空持仓,股票资产清零,0,持有 Y09 股票玩家触发
团体逆流,精力管理不善引发重感冒,精力≤0 或透支玩家因重感冒住院，支付 1 万治疗费（大病险无效）,-10000,-1,精力≤0 / 透支 + 未投大病险玩家触发
团体逆流,病毒性感冒引发肺炎,全员掷 1 骰，≤3 需住院（1 万治疗费，大病险无效）；未投大病险者掷 2 骰,-10000（掷骰≤3）,-1,全员掷骰；未投大病险玩家掷 2 骰
团体逆流,经济危机推高融资成本,经济危机使融资成本上升，贷款利率达 20%；人脉 / 资源玩家豁免，银行收回不良房产抵押,无直接变化,0,人脉 / 资源玩家豁免；银行收回房产贷款抵押（不含车、信用卡、企业贷）
团体逆流,企业税务官司,持有企业的玩家需应诉，聘请法务 / 财务顾问者豁免,无直接变化,0,有企业玩家触发；聘法务 / 财务者豁免
团体逆流,通胀致生活支出增加,通货膨胀使生活成本上升，生活支出增加 50%，月现金流同比例压缩,生活支出 + 50%,-1,全员触发，月现金流按比例减少
